"cor","bitrate","mismatchrate","metric","entopy","bitlen"
"1",0.629980961954589,46.2075848303393,24.6506986027944,10.9309963579605,4.23410650459726,463
"2",0.623554887266248,60.0798403193613,22.1556886227545,21.1612252861603,4.18965474202643,602
"3",0.51717905631914,61.4770459081836,18.9620758483034,26.4933988033299,4.14313472639153,616
"4",0.718777024493963,57.3852295409182,14.6706586826347,30.3581880853278,4.0943445622221,575
"5",0.709821091591877,57.684630738523,24.9500998003992,16.3989334027055,4.00733318523247,578
"6",0.213667540977949,52.0958083832335,22.6546906187625,16.1280160639958,4.24849524204936,522
"7",0.533552802985484,55.4890219560878,24.4510978043912,15.8650250390219,4.14313472639153,556
"8",NA,NA,NA,NA,NA,NA
"9",0.57434075905443,60.2794411177645,29.2415169660679,12.8310760275754,4.43081679884331,604
"10",0.612954672252575,40.0199600798403,21.7564870259481,10.3395714099896,4.18965474202643,401
"11",0.405880062064282,63.9720558882236,27.2455089820359,16.6785900104058,4.23410650459726,641
"12",0.554177198711774,46.6067864271457,27.9441117764471,8.20922216441207,4.21950770517611,467
"13",NA,NA,NA,NA,NA,NA
"14",0.616617882039622,48.1037924151697,20.1596806387226,16.7306191467222,3.95124371858143,482
"15",0.450377717296585,48.9021956087824,18.063872255489,19.7822499349636,3.91202300542815,490
