"cor","bitrate","mismatchrate","metric","entopy","bitlen"
"1",0.629980961954589,49.2015968063872,24.9500998003992,12.15,4.26267987704132,493
"2",0.623554887266248,56.5868263473054,20.3592814371257,21.4896,4.45434729625351,567
"3",0.51717905631914,56.187624750499,16.8662674650699,26.0828,4.21950770517611,563
"4",0.718777024493963,58.5828343313373,15.5688622754491,29.6528,4.46590811865458,587
"5",0.709821091591877,51.5968063872255,18.562874251497,20.7868,4.36944785246702,517
"6",0.213667540977949,53.2934131736527,22.5548902195609,16.8784,4.46590811865458,534
"7",0.533552802985484,42.814371257485,17.564870259481,16.3944,4.36944785246702,429
"8",NA,NA,NA,NA,NA,NA
"9",0.57434075905443,51.3972055888224,23.9520958083832,14.3,4.53259949315326,515
"10",0.612954672252575,47.9041916167665,24.9500998003992,11.5,4.24849524204936,480
"11",0.405880062064282,53.4930139720559,25.0499001996008,14.193,4.35670882668959,536
"12",0.554177198711774,45.9081836327345,27.9441117764471,7.92,4.39444915467244,460
"13",NA,NA,NA,NA,NA,NA
"14",0.616617882039622,54.5908183632735,23.9520958083832,15.964,4.47733681447821,547
"15",0.450377717296585,50.5988023952096,19.4610778443114,19.032,4.31748811353631,507
